Original: get|min|height , predicted 1st: get|min|height
Original: reset , predicted 1st: reset
Original: get|ray|from|world , predicted 1st: do|test
Original: init , predicted 1st: init
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: fill , predicted 1st: set|y
Original: get|b|is|front|wheel , predicted 1st: is
Original: get|convex|from|world , predicted 1st: do|test
Original: serialize|double , predicted 1st: serialize|double
Original: end , predicted 1st: flush
Original: bottom , predicted 1st: get
Original: get|c|pointer , predicted 1st: get|c|c
Original: set|next|vertex , predicted 1st: set|next
Original: create|point|point|constraint , predicted 1st: create|point|point
Original: is|root , predicted 1st: is|union
Original: pop|back , predicted 1st: 
Original: reset , predicted 1st: set|up
Original: expand|non|initializing , predicted 1st: non|non|non|array
Original: sub|sequence , predicted 1st: get|result
Original: scrolled , predicted 1st: is
Original: get|user|constraint|id , predicted 1st: get|user|data
Original: reallocate|buffer , predicted 1st: write
Original: set|actor|x , predicted 1st: set|x|x
Original: set|suspension|stiffness , predicted 1st: 
Original: get|param , predicted 1st: get|constraint|constraint
Original: set|unused , predicted 1st: set|value
Original: init , predicted 1st: load
Original: set|override|num|solver|iterations , predicted 1st: set|float|float
Original: create|entry , predicted 1st: create|entry
Original: get|part|id , predicted 1st: get|index
Original: get|num|collision|shapes , predicted 1st: get
Original: get|floats , predicted 1st: get
Original: size , predicted 1st: set|size
Original: create|entry , predicted 1st: create|entry
Original: get|hit|fraction , predicted 1st: 
Original: set|value , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: space|top , predicted 1st: space
Original: sort|islands , predicted 1st: test|sort
Original: get|c|ptr , predicted 1st: get|float
Original: get|tap|square|size , predicted 1st: get|size
Original: write , predicted 1st: set
Original: right , predicted 1st: get
Original: set|enabled , predicted 1st: set|enabled|enabled
Original: swap , predicted 1st: set
Original: get|row , predicted 1st: get|row
Original: assert|not|equals , predicted 1st: compare
Original: get , predicted 1st: get
Original: get|dbg|draw|size , predicted 1st: get
Original: delete , predicted 1st: delete
Original: set|values , predicted 1st: add
Original: touch|down , predicted 1st: run
Original: create|entry , predicted 1st: create|entry
Original: dispose , predicted 1st: run
Original: get|c|ptr , predicted 1st: get
Original: delete , predicted 1st: delete
Original: has|ownership , predicted 1st: is|c
Original: create|entry , predicted 1st: create|entry
Original: get|suspension|relative|velocity , predicted 1st: get
Original: contains , predicted 1st: is
Original: read , predicted 1st: compare
Original: get|rigid|body|a , predicted 1st: get
Original: norm , predicted 1st: 
Original: set|user|constraint|id , predicted 1st: set|float|float
Original: start|process , predicted 1st: create|entry
Original: run , predicted 1st: run
Original: print|file|line|number , predicted 1st: test
Original: get|file|name , predicted 1st: get|file|name
Original: get|error , predicted 1st: get|pattern
Original: get|line|number , predicted 1st: parse
Original: get|disable|collisions|between|linked|bodies , predicted 1st: get|data|data
Original: add , predicted 1st: set|button
Original: release , predicted 1st: check
Original: create|entry , predicted 1st: create|entry
Original: space , predicted 1st: add|space
Original: intercept|camera , predicted 1st: get
Original: set|floats , predicted 1st: set
Original: add|all , predicted 1st: set
Original: dispose , predicted 1st: dispose
Original: new|direct|byte|buffer , predicted 1st: read|buffer
Original: get|override|num|solver|iterations , predicted 1st: get|double|double|double
Original: get , predicted 1st: get
Original: create|world , predicted 1st: create|entry
Original: approximate , predicted 1st: 
Original: create|cone|shape|z , predicted 1st: create
Original: remove|range , predicted 1st: add
Original: compute|mass , predicted 1st: set
Original: get|actor|x , predicted 1st: get|x|x
Original: derivative , predicted 1st: add
Original: delete , predicted 1st: dispose
Original: is|enabled , predicted 1st: is|enabled|enabled
Original: collide|edge|and|polygon , predicted 1st: 
Original: set|rb|a , predicted 1st: set|data|data
Original: overlap|test|conservative , predicted 1st: 
Original: delete , predicted 1st: delete
Original: peek , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|prev|vertex , predicted 1st: set
Original: raycast , predicted 1st: 
Original: get , predicted 1st: get|array
Original: get|user|constraint|type , predicted 1st: get|user|user
Original: get|y , predicted 1st: get
Original: set|user|constraint|ptr , predicted 1st: set|user|user
Original: create|entry , predicted 1st: create|entry
Original: read , predicted 1st: get
Original: to|array , predicted 1st: get|array
Original: new|short|buffer , predicted 1st: get|short|array|array
Original: create|entry , predicted 1st: create|entry|array
Original: get|computed|pad|left , predicted 1st: get|left
Original: delete , predicted 1st: delete
Original: touch|dragged , predicted 1st: is|visible
Original: get|max|suspension|force , predicted 1st: get|info
Original: remove|index , predicted 1st: get|value
Original: absolute , predicted 1st: 
Original: mul , predicted 1st: set
Original: pad|top , predicted 1st: create
Original: get|image , predicted 1st: get|image
Original: set|unused , predicted 1st: set|value
Original: set , predicted 1st: apply
Original: create|entry , predicted 1st: create|entry
Original: swig|take|ownership , predicted 1st: test
Original: closest|pt|point|tetrahedron , predicted 1st: 
Original: get|needs|update , predicted 1st: is
Original: fling , predicted 1st: is
Original: set|verbose|mode , predicted 1st: set|mode
Original: get|engine|force , predicted 1st: get
Original: swig|release|ownership , predicted 1st: test
Original: get , predicted 1st: get
Original: set|z , predicted 1st: set
Original: wrap , predicted 1st: get|byte
Original: dispose , predicted 1st: dispose
Original: set|max|suspension|travel|cm , predicted 1st: set|max|number
Original: create|entry , predicted 1st: create|entry
Original: set|camera , predicted 1st: set
Original: reset , predicted 1st: reset
Original: grow , predicted 1st: 
Original: in|tap|square , predicted 1st: is
Original: set|simplex|vector|w , predicted 1st: 
Original: get|world|transform , predicted 1st: get
Original: dot , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: set|dbg|draw|size , predicted 1st: set|float|float
Original: clip|segment|to|line , predicted 1st: create|entry
Original: add|all|projects , predicted 1st: write
Original: create|chain , predicted 1st: 
Original: set|cached|p , predicted 1st: set
Original: get|checked , predicted 1st: get
Original: get|hit|point|world , predicted 1st: do|test
Original: get|main|texture , predicted 1st: get
Original: collide|edge|and|circle , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: set|disable|collisions|between|linked|bodies , predicted 1st: set|float|float
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: set|delta|rotation , predicted 1st: start
Original: initialize , predicted 1st: add|listener
Original: clicked , predicted 1st: set|checked
Original: get|pad|top|value , predicted 1st: get|top
Original: get|user|constraint|type , predicted 1st: get|double|double|double
Original: set|user|constraint|type , predicted 1st: set|double|double
Original: set|breaking|impulse|threshold , predicted 1st: set|float|float
Original: create|entry , predicted 1st: create|entry
Original: check|int , predicted 1st: set
Original: update , predicted 1st: run
Original: expand , predicted 1st: 
Original: set|friction|slip , predicted 1st: info|info|info
Original: find|linear|search , predicted 1st: find|all
Original: pad|left , predicted 1st: left
Original: add , predicted 1st: set|value
Original: create|entry , predicted 1st: create|entry
Original: create|gimpact|shape , predicted 1st: create
Original: get|rb|a , predicted 1st: get|double|double|double
Original: get|skid|info , predicted 1st: get
Original: get|name , predicted 1st: get|data|data|name
Original: is|zero , predicted 1st: is
Original: get|min|width|value , predicted 1st: get|min|width
Original: set|tap|count|interval , predicted 1st: set|interval|count|count
Original: pan|stop , predicted 1st: is|enabled
Original: get|child|count , predicted 1st: get|index|count
Original: set , predicted 1st: set|field
Original: min|size , predicted 1st: min
Original: get|name , predicted 1st: get|float|float|float
Original: get|unused , predicted 1st: get
Original: set|hit|collision|object , predicted 1st: on|result
Original: set|convex|from|world , predicted 1st: 
Original: touch|up , predicted 1st: set
Original: get|min|height|value , predicted 1st: get|min|height
Original: new|float|buffer , predicted 1st: get|float|buffer|buffer
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: update , predicted 1st: run
Original: pinch , predicted 1st: 
Original: set|lower|limit , predicted 1st: set|min
Original: get|declared|annotations , predicted 1st: get|annotations
Original: create|entry , predicted 1st: create|entry
Original: allocate|direct , predicted 1st: to|byte
Original: set|override|num|solver|iterations , predicted 1st: set|double|double
Original: create|entry , predicted 1st: create|entry
Original: get|dbg|draw|size , predicted 1st: get|double|double|double
Original: append , predicted 1st: get|sequence
Original: set|needs|feedback , predicted 1st: set|float|float
Original: delete , predicted 1st: delete
Original: grow|x , predicted 1st: 
Original: position , predicted 1st: get|position
Original: create|entry , predicted 1st: create|entry
Original: truncate , predicted 1st: set|size
Original: get|wheels|suspension|force , predicted 1st: get
Original: create|capsule|shape|y , predicted 1st: create
Original: transform , predicted 1st: transform
Original: get|info , predicted 1st: set|column|info
Original: clicked , predicted 1st: on|double
Original: create|entry , predicted 1st: create|entry
Original: get|uniform|x , predicted 1st: is|x
Original: merge , predicted 1st: expand
Original: add|all , predicted 1st: set|size
Original: handle , predicted 1st: on|event
Original: set|ray|from|world , predicted 1st: set|result
Original: touch|up , predicted 1st: run
Original: get|name|for|pointer , predicted 1st: get|name
